Country,Factors,Value
Chile,Freedom,0.44132
Chile,Trust (Government Corruption),0.12869
Chile,Generosity,0.33363
Qatar,Economy (GDP per Capita),1.69042
Qatar,Family,1.0786
Qatar,Health (Life Expectancy),0.79733
Qatar,Freedom,0.6404
Qatar,Trust (Government Corruption),0.52208
Qatar,Generosity,0.32573
France,Economy (GDP per Capita),1.27778
France,Family,1.26038
France,Health (Life Expectancy),0.94579
France,Freedom,0.55011
France,Trust (Government Corruption),0.20646
France,Generosity,0.12332
Argentina,Economy (GDP per Capita),1.05351
Argentina,Family,1.24823
Argentina,Health (Life Expectancy),0.78723
Argentina,Freedom,0.44974
Argentina,Trust (Government Corruption),0.08484
Argentina,Generosity,0.11451
Czech Republic,Economy (GDP per Capita),1.17898
Czech Republic,Family,1.20643
Czech Republic,Health (Life Expectancy),0.84483
Czech Republic,Freedom,0.46364
Czech Republic,Trust (Government Corruption),0.02652
Czech Republic,Generosity,0.10686
Uruguay,Economy (GDP per Capita),1.06166
Uruguay,Family,1.2089
Uruguay,Health (Life Expectancy),0.8116
Uruguay,Freedom,0.60362
Uruguay,Trust (Government Corruption),0.24558
Uruguay,Generosity,0.2324
Colombia,Economy (GDP per Capita),0.91861
Colombia,Family,1.24018
Colombia,Health (Life Expectancy),0.69077
Colombia,Freedom,0.53466
Colombia,Trust (Government Corruption),0.0512
Colombia,Generosity,0.18401
Thailand,Economy (GDP per Capita),0.9669
Thailand,Family,1.26504
Thailand,Health (Life Expectancy),0.7385
Thailand,Freedom,0.55664
Thailand,Trust (Government Corruption),0.03187
Thailand,Generosity,0.5763
Saudi Arabia,Economy (GDP per Capita),1.39541
Saudi Arabia,Family,1.08393
Saudi Arabia,Health (Life Expectancy),0.72025
Saudi Arabia,Freedom,0.31048
Saudi Arabia,Trust (Government Corruption),0.32524
Saudi Arabia,Generosity,0.13706
Spain,Economy (GDP per Capita),1.23011
Spain,Family,1.31379
Spain,Health (Life Expectancy),0.95562
Spain,Freedom,0.45951
Spain,Trust (Government Corruption),0.06398
Spain,Generosity,0.18227
Malta,Economy (GDP per Capita),1.2074
Malta,Family,1.30203
Malta,Health (Life Expectancy),0.88721
Malta,Freedom,0.60365
Malta,Trust (Government Corruption),0.13586
Malta,Generosity,0.51752
Taiwan,Economy (GDP per Capita),1.29098
Taiwan,Family,1.07617
Taiwan,Health (Life Expectancy),0.8753
Taiwan,Freedom,0.3974
Taiwan,Trust (Government Corruption),0.08129
Taiwan,Generosity,0.25376
Kuwait,Economy (GDP per Capita),1.55422
Kuwait,Family,1.16594
Kuwait,Health (Life Expectancy),0.72492
Kuwait,Freedom,0.55499
Kuwait,Trust (Government Corruption),0.25609
Kuwait,Generosity,0.16228
Suriname,Economy (GDP per Capita),0.99534
Suriname,Family,0.972
Suriname,Health (Life Expectancy),0.6082
Suriname,Freedom,0.59657
Suriname,Trust (Government Corruption),0.13633
Suriname,Generosity,0.16991
Trinidad and Tobago,Economy (GDP per Capita),1.21183
Trinidad and Tobago,Family,1.18354
Trinidad and Tobago,Health (Life Expectancy),0.61483
Trinidad and Tobago,Freedom,0.55884
Trinidad and Tobago,Trust (Government Corruption),0.0114
Trinidad and Tobago,Generosity,0.31844
El Salvador,Economy (GDP per Capita),0.76454
El Salvador,Family,1.02507
El Salvador,Health (Life Expectancy),0.67737
El Salvador,Freedom,0.4035
El Salvador,Trust (Government Corruption),0.11776
El Salvador,Generosity,0.10692
Guatemala,Economy (GDP per Capita),0.74553
Guatemala,Family,1.04356
Guatemala,Health (Life Expectancy),0.64425
Guatemala,Freedom,0.57733
Guatemala,Trust (Government Corruption),0.09472
Guatemala,Generosity,0.27489
Uzbekistan,Economy (GDP per Capita),0.63244
Uzbekistan,Family,1.34043
Uzbekistan,Health (Life Expectancy),0.59772
Uzbekistan,Freedom,0.65821
Uzbekistan,Trust (Government Corruption),0.30826
Uzbekistan,Generosity,0.22837
Slovakia,Economy (GDP per Capita),1.16891
Slovakia,Family,1.26999
Slovakia,Health (Life Expectancy),0.78902
Slovakia,Freedom,0.31751
Slovakia,Trust (Government Corruption),0.03431
Slovakia,Generosity,0.16893
Japan,Economy (GDP per Capita),1.27074
Japan,Family,1.25712
Japan,Health (Life Expectancy),0.99111
Japan,Freedom,0.49615
Japan,Trust (Government Corruption),0.1806
Japan,Generosity,0.10705
South Korea,Economy (GDP per Capita),1.24461
South Korea,Family,0.95774
South Korea,Health (Life Expectancy),0.96538
South Korea,Freedom,0.33208
South Korea,Trust (Government Corruption),0.07857
South Korea,Generosity,0.18557
Ecuador,Economy (GDP per Capita),0.86402
Ecuador,Family,0.99903
Ecuador,Health (Life Expectancy),0.79075
Ecuador,Freedom,0.48574
Ecuador,Trust (Government Corruption),0.1809
Ecuador,Generosity,0.11541
Bahrain,Economy (GDP per Capita),1.32376
Bahrain,Family,1.21624
Bahrain,Health (Life Expectancy),0.74716
Bahrain,Freedom,0.45492
Bahrain,Trust (Government Corruption),0.306
Bahrain,Generosity,0.17362
Italy,Economy (GDP per Capita),1.25114
Italy,Family,1.19777
Italy,Health (Life Expectancy),0.95446
Italy,Freedom,0.26236
Italy,Trust (Government Corruption),0.02901
Italy,Generosity,0.22823
Bolivia,Economy (GDP per Capita),0.68133
Bolivia,Family,0.97841
Bolivia,Health (Life Expectancy),0.5392
Bolivia,Freedom,0.57414
Bolivia,Trust (Government Corruption),0.088
Bolivia,Generosity,0.20536
Moldova,Economy (GDP per Capita),0.59448
Moldova,Family,1.01528
Moldova,Health (Life Expectancy),0.61826
Moldova,Freedom,0.32818
Moldova,Trust (Government Corruption),0.01615
Moldova,Generosity,0.20951
Paraguay,Economy (GDP per Capita),0.75985
Paraguay,Family,1.30477
Paraguay,Health (Life Expectancy),0.66098
Paraguay,Freedom,0.53899
Paraguay,Trust (Government Corruption),0.08242
Paraguay,Generosity,0.3424
Kazakhstan,Economy (GDP per Capita),1.12254
Kazakhstan,Family,1.12241
Kazakhstan,Health (Life Expectancy),0.64368
Kazakhstan,Freedom,0.51649
Kazakhstan,Trust (Government Corruption),0.08454
Kazakhstan,Generosity,0.11827
Slovenia,Economy (GDP per Capita),1.18498
Slovenia,Family,1.27385
Slovenia,Health (Life Expectancy),0.87337
Slovenia,Freedom,0.60855
Slovenia,Trust (Government Corruption),0.03787
Slovenia,Generosity,0.25328
Lithuania,Economy (GDP per Capita),1.14723
Lithuania,Family,1.25745
Lithuania,Health (Life Expectancy),0.73128
Lithuania,Freedom,0.21342
Lithuania,Trust (Government Corruption),0.01031
Lithuania,Generosity,0.02641
Nicaragua,Economy (GDP per Capita),0.59325
Nicaragua,Family,1.14184
Nicaragua,Health (Life Expectancy),0.74314
Nicaragua,Freedom,0.55475
Nicaragua,Trust (Government Corruption),0.19317
Nicaragua,Generosity,0.27815
Peru,Economy (GDP per Capita),0.90019
Peru,Family,0.97459
Peru,Health (Life Expectancy),0.73017
Peru,Freedom,0.41496
Peru,Trust (Government Corruption),0.05989
Peru,Generosity,0.14982
Belarus,Economy (GDP per Capita),1.03192
Belarus,Family,1.23289
Belarus,Health (Life Expectancy),0.73608
Belarus,Freedom,0.37938
Belarus,Trust (Government Corruption),0.1909
Belarus,Generosity,0.11046
Poland,Economy (GDP per Capita),1.12555
Poland,Family,1.27948
Poland,Health (Life Expectancy),0.77903
Poland,Freedom,0.53122
Poland,Trust (Government Corruption),0.04212
Poland,Generosity,0.16759
Malaysia,Economy (GDP per Capita),1.12486
Malaysia,Family,1.07023
Malaysia,Health (Life Expectancy),0.72394
Malaysia,Freedom,0.53024
Malaysia,Trust (Government Corruption),0.10501
Malaysia,Generosity,0.33075
Croatia,Economy (GDP per Capita),1.08254
Croatia,Family,0.79624
Croatia,Health (Life Expectancy),0.78805
Croatia,Freedom,0.25883
Croatia,Trust (Government Corruption),0.0243
Croatia,Generosity,0.05444
Libya,Economy (GDP per Capita),1.13145
Libya,Family,1.11862
Libya,Health (Life Expectancy),0.7038
Libya,Freedom,0.41668
Libya,Trust (Government Corruption),0.11023
Libya,Generosity,0.18295
Russia,Economy (GDP per Capita),1.13764
Russia,Family,1.23617
Russia,Health (Life Expectancy),0.66926
Russia,Freedom,0.36679
Russia,Trust (Government Corruption),0.03005
Russia,Generosity,0.00199
Jamaica,Economy (GDP per Capita),0.81038
Jamaica,Family,1.15102
Jamaica,Health (Life Expectancy),0.68741
Jamaica,Freedom,0.50442
Jamaica,Trust (Government Corruption),0.02299
Jamaica,Generosity,0.2123
North Cyprus,Economy (GDP per Capita),1.20806
North Cyprus,Family,1.07008
North Cyprus,Health (Life Expectancy),0.92356
North Cyprus,Freedom,0.49027
North Cyprus,Trust (Government Corruption),0.1428
North Cyprus,Generosity,0.26169
Cyprus,Economy (GDP per Capita),1.20813
Cyprus,Family,0.89318
Cyprus,Health (Life Expectancy),0.92356
Cyprus,Freedom,0.40672
Cyprus,Trust (Government Corruption),0.06146
Cyprus,Generosity,0.30638
Algeria,Economy (GDP per Capita),0.93929
Algeria,Family,1.07772
Algeria,Health (Life Expectancy),0.61766
Algeria,Freedom,0.28579
Algeria,Trust (Government Corruption),0.17383
Algeria,Generosity,0.07822
Kosovo,Economy (GDP per Capita),0.80148
Kosovo,Family,0.81198
Kosovo,Health (Life Expectancy),0.63132
Kosovo,Freedom,0.24749
Kosovo,Trust (Government Corruption),0.04741
Kosovo,Generosity,0.2831
Turkmenistan,Economy (GDP per Capita),0.95847
Turkmenistan,Family,1.22668
Turkmenistan,Health (Life Expectancy),0.53886
Turkmenistan,Freedom,0.4761
Turkmenistan,Trust (Government Corruption),0.30844
Turkmenistan,Generosity,0.16979
Mauritius,Economy (GDP per Capita),1.00761
Mauritius,Family,0.98521
Mauritius,Health (Life Expectancy),0.7095
Mauritius,Freedom,0.56066
Mauritius,Trust (Government Corruption),0.07521
Mauritius,Generosity,0.37744
Hong Kong,Economy (GDP per Capita),1.38604
Hong Kong,Family,1.05818
Hong Kong,Health (Life Expectancy),1.01328
Hong Kong,Freedom,0.59608
Hong Kong,Trust (Government Corruption),0.37124
Hong Kong,Generosity,0.39478
Estonia,Economy (GDP per Capita),1.15174
Estonia,Family,1.22791
Estonia,Health (Life Expectancy),0.77361
Estonia,Freedom,0.44888
Estonia,Trust (Government Corruption),0.15184
Estonia,Generosity,0.0868
Indonesia,Economy (GDP per Capita),0.82827
Indonesia,Family,1.08708
Indonesia,Health (Life Expectancy),0.63793
Indonesia,Freedom,0.46611
Indonesia,Trust (Government Corruption),0
Indonesia,Generosity,0.51535
Vietnam,Economy (GDP per Capita),0.63216
Vietnam,Family,0.91226
Vietnam,Health (Life Expectancy),0.74676
Vietnam,Freedom,0.59444
Vietnam,Trust (Government Corruption),0.10441
Vietnam,Generosity,0.1686
Turkey,Economy (GDP per Capita),1.06098
Turkey,Family,0.94632
Turkey,Health (Life Expectancy),0.73172
Turkey,Freedom,0.22815
Turkey,Trust (Government Corruption),0.15746
Turkey,Generosity,0.12253
Kyrgyzstan,Economy (GDP per Capita),0.47428
Kyrgyzstan,Family,1.15115
Kyrgyzstan,Health (Life Expectancy),0.65088
Kyrgyzstan,Freedom,0.43477
Kyrgyzstan,Trust (Government Corruption),0.04232
Kyrgyzstan,Generosity,0.3003
Nigeria,Economy (GDP per Capita),0.65435
Nigeria,Family,0.90432
Nigeria,Health (Life Expectancy),0.16007
Nigeria,Freedom,0.34334
Nigeria,Trust (Government Corruption),0.0403
Nigeria,Generosity,0.27233
Bhutan,Economy (GDP per Capita),0.77042
Bhutan,Family,1.10395
Bhutan,Health (Life Expectancy),0.57407
Bhutan,Freedom,0.53206
Bhutan,Trust (Government Corruption),0.15445
Bhutan,Generosity,0.47998
Azerbaijan,Economy (GDP per Capita),1.02389
Azerbaijan,Family,0.93793
Azerbaijan,Health (Life Expectancy),0.64045
Azerbaijan,Freedom,0.3703
Azerbaijan,Trust (Government Corruption),0.16065
Azerbaijan,Generosity,0.07799
Pakistan,Economy (GDP per Capita),0.59543
Pakistan,Family,0.41411
Pakistan,Health (Life Expectancy),0.51466
Pakistan,Freedom,0.12102
Pakistan,Trust (Government Corruption),0.10464
Pakistan,Generosity,0.33671
Jordan,Economy (GDP per Capita),0.90198
Jordan,Family,1.05392
Jordan,Health (Life Expectancy),0.69639
Jordan,Freedom,0.40661
Jordan,Trust (Government Corruption),0.14293
Jordan,Generosity,0.11053
Montenegro,Economy (GDP per Capita),0.97438
Montenegro,Family,0.90557
Montenegro,Health (Life Expectancy),0.72521
Montenegro,Freedom,0.1826
Montenegro,Trust (Government Corruption),0.14296
Montenegro,Generosity,0.1614
China,Economy (GDP per Capita),0.89012
China,Family,0.94675
China,Health (Life Expectancy),0.81658
China,Freedom,0.51697
China,Trust (Government Corruption),0.02781
China,Generosity,0.08185
Zambia,Economy (GDP per Capita),0.47038
Zambia,Family,0.91612
Zambia,Health (Life Expectancy),0.29924
Zambia,Freedom,0.48827
Zambia,Trust (Government Corruption),0.12468
Zambia,Generosity,0.19591
Romania,Economy (GDP per Capita),1.04345
Romania,Family,0.88588
Romania,Health (Life Expectancy),0.7689
Romania,Freedom,0.35068
Romania,Trust (Government Corruption),0.00649
Romania,Generosity,0.13748
Serbia,Economy (GDP per Capita),0.92053
Serbia,Family,1.00964
Serbia,Health (Life Expectancy),0.74836
Serbia,Freedom,0.20107
Serbia,Trust (Government Corruption),0.02617
Serbia,Generosity,0.19231
Portugal,Economy (GDP per Capita),1.15991
Portugal,Family,1.13935
Portugal,Health (Life Expectancy),0.87519
Portugal,Freedom,0.51469
Portugal,Trust (Government Corruption),0.01078
Portugal,Generosity,0.13719
Latvia,Economy (GDP per Capita),1.11312
Latvia,Family,1.09562
Latvia,Health (Life Expectancy),0.72437
Latvia,Freedom,0.29671
Latvia,Trust (Government Corruption),0.06332
Latvia,Generosity,0.18226
Philippines,Economy (GDP per Capita),0.70532
Philippines,Family,1.03516
Philippines,Health (Life Expectancy),0.58114
Philippines,Freedom,0.62545
Philippines,Trust (Government Corruption),0.12279
Philippines,Generosity,0.24991
Somaliland region,Economy (GDP per Capita),0.18847
Somaliland region,Family,0.95152
Somaliland region,Health (Life Expectancy),0.43873
Somaliland region,Freedom,0.46582
Somaliland region,Trust (Government Corruption),0.39928
Somaliland region,Generosity,0.50318
Morocco,Economy (GDP per Capita),0.73479
Morocco,Family,0.64095
Morocco,Health (Life Expectancy),0.60954
Morocco,Freedom,0.41691
Morocco,Trust (Government Corruption),0.08546
Morocco,Generosity,0.07172
Macedonia,Economy (GDP per Capita),0.91851
Macedonia,Family,1.00232
Macedonia,Health (Life Expectancy),0.73545
Macedonia,Freedom,0.33457
Macedonia,Trust (Government Corruption),0.05327
Macedonia,Generosity,0.22359
Mozambique,Economy (GDP per Capita),0.08308
Mozambique,Family,1.02626
Mozambique,Health (Life Expectancy),0.09131
Mozambique,Freedom,0.34037
Mozambique,Trust (Government Corruption),0.15603
Mozambique,Generosity,0.22269
Albania,Economy (GDP per Capita),0.87867
Albania,Family,0.80434
Albania,Health (Life Expectancy),0.81325
Albania,Freedom,0.35733
Albania,Trust (Government Corruption),0.06413
Albania,Generosity,0.14272
Bosnia and Herzegovina,Economy (GDP per Capita),0.83223
Bosnia and Herzegovina,Family,0.91916
Bosnia and Herzegovina,Health (Life Expectancy),0.79081
Bosnia and Herzegovina,Freedom,0.09245
Bosnia and Herzegovina,Trust (Government Corruption),0.00227
Bosnia and Herzegovina,Generosity,0.24808
Lesotho,Economy (GDP per Capita),0.37545
Lesotho,Family,1.04103
Lesotho,Health (Life Expectancy),0.07612
Lesotho,Freedom,0.31767
Lesotho,Trust (Government Corruption),0.12504
Lesotho,Generosity,0.16388
Dominican Republic,Economy (GDP per Capita),0.89537
Dominican Republic,Family,1.17202
Dominican Republic,Health (Life Expectancy),0.66825
Dominican Republic,Freedom,0.57672
Dominican Republic,Trust (Government Corruption),0.14234
Dominican Republic,Generosity,0.21684
Laos,Economy (GDP per Capita),0.59066
Laos,Family,0.73803
Laos,Health (Life Expectancy),0.54909
Laos,Freedom,0.59591
Laos,Trust (Government Corruption),0.24249
Laos,Generosity,0.42192
Mongolia,Economy (GDP per Capita),0.82819
Mongolia,Family,1.3006
Mongolia,Health (Life Expectancy),0.60268
Mongolia,Freedom,0.43626
Mongolia,Trust (Government Corruption),0.02666
Mongolia,Generosity,0.3323
Swaziland,Economy (GDP per Capita),0.71206
Swaziland,Family,1.07284
Swaziland,Health (Life Expectancy),0.07566
Swaziland,Freedom,0.30658
Swaziland,Trust (Government Corruption),0.0306
Swaziland,Generosity,0.18259
Greece,Economy (GDP per Capita),1.15406
Greece,Family,0.92933
Greece,Health (Life Expectancy),0.88213
Greece,Freedom,0.07699
Greece,Trust (Government Corruption),0.01397
Greece,Generosity,0
Lebanon,Economy (GDP per Capita),1.02564
Lebanon,Family,0.80001
Lebanon,Health (Life Expectancy),0.83947
Lebanon,Freedom,0.33916
Lebanon,Trust (Government Corruption),0.04582
Lebanon,Generosity,0.21854
Hungary,Economy (GDP per Capita),1.12094
Hungary,Family,1.20215
Hungary,Health (Life Expectancy),0.75905
Hungary,Freedom,0.32112
Hungary,Trust (Government Corruption),0.02758
Hungary,Generosity,0.128
Honduras,Economy (GDP per Capita),0.59532
Honduras,Family,0.95348
Honduras,Health (Life Expectancy),0.6951
Honduras,Freedom,0.40148
Honduras,Trust (Government Corruption),0.06825
Honduras,Generosity,0.23027
Tajikistan,Economy (GDP per Capita),0.39047
Tajikistan,Family,0.85563
Tajikistan,Health (Life Expectancy),0.57379
Tajikistan,Freedom,0.47216
Tajikistan,Trust (Government Corruption),0.15072
Tajikistan,Generosity,0.22974
Tunisia,Economy (GDP per Capita),0.88113
Tunisia,Family,0.60429
Tunisia,Health (Life Expectancy),0.73793
Tunisia,Freedom,0.26268
Tunisia,Trust (Government Corruption),0.06358
Tunisia,Generosity,0.06431
Palestinian Territories,Economy (GDP per Capita),0.59867
Palestinian Territories,Family,0.92558
Palestinian Territories,Health (Life Expectancy),0.66015
Palestinian Territories,Freedom,0.24499
Palestinian Territories,Trust (Government Corruption),0.12905
Palestinian Territories,Generosity,0.11251
Bangladesh,Economy (GDP per Capita),0.39753
Bangladesh,Family,0.43106
Bangladesh,Health (Life Expectancy),0.60164
Bangladesh,Freedom,0.4082
Bangladesh,Trust (Government Corruption),0.12569
Bangladesh,Generosity,0.21222
Iran,Economy (GDP per Capita),1.0088
Iran,Family,0.54447
Iran,Health (Life Expectancy),0.69805
Iran,Freedom,0.30033
Iran,Trust (Government Corruption),0.05863
Iran,Generosity,0.38086
Ukraine,Economy (GDP per Capita),0.79907
Ukraine,Family,1.20278
Ukraine,Health (Life Expectancy),0.6739
Ukraine,Freedom,0.25123
Ukraine,Trust (Government Corruption),0.02961
Ukraine,Generosity,0.15275
Iraq,Economy (GDP per Capita),0.98549
Iraq,Family,0.81889
Iraq,Health (Life Expectancy),0.60237
Iraq,Freedom,0
Iraq,Trust (Government Corruption),0.13788
Iraq,Generosity,0.17922
South Africa,Economy (GDP per Capita),0.92049
South Africa,Family,1.18468
South Africa,Health (Life Expectancy),0.27688
South Africa,Freedom,0.33207
South Africa,Trust (Government Corruption),0.08884
South Africa,Generosity,0.11973
Ghana,Economy (GDP per Capita),0.54558
Ghana,Family,0.67954
Ghana,Health (Life Expectancy),0.40132
Ghana,Freedom,0.42342
Ghana,Trust (Government Corruption),0.04355
Ghana,Generosity,0.23087
Zimbabwe,Economy (GDP per Capita),0.271
Zimbabwe,Family,1.03276
Zimbabwe,Health (Life Expectancy),0.33475
Zimbabwe,Freedom,0.25861
Zimbabwe,Trust (Government Corruption),0.08079
Zimbabwe,Generosity,0.18987
Liberia,Economy (GDP per Capita),0.0712
Liberia,Family,0.78968
Liberia,Health (Life Expectancy),0.34201
Liberia,Freedom,0.28531
Liberia,Trust (Government Corruption),0.06232
Liberia,Generosity,0.24362
India,Economy (GDP per Capita),0.64499
India,Family,0.38174
India,Health (Life Expectancy),0.51529
India,Freedom,0.39786
India,Trust (Government Corruption),0.08492
India,Generosity,0.26475
Sudan,Economy (GDP per Capita),0.52107
Sudan,Family,1.01404
Sudan,Health (Life Expectancy),0.36878
Sudan,Freedom,0.10081
Sudan,Trust (Government Corruption),0.1466
Sudan,Generosity,0.19062
Haiti,Economy (GDP per Capita),0.26673
Haiti,Family,0.74302
Haiti,Health (Life Expectancy),0.38847
Haiti,Freedom,0.24425
Haiti,Trust (Government Corruption),0.17175
Haiti,Generosity,0.46187
Congo (Kinshasa),Economy (GDP per Capita),0
Congo (Kinshasa),Family,1.0012
Congo (Kinshasa),Health (Life Expectancy),0.09806
Congo (Kinshasa),Freedom,0.22605
Congo (Kinshasa),Trust (Government Corruption),0.07625
Congo (Kinshasa),Generosity,0.24834
Nepal,Economy (GDP per Capita),0.35997
Nepal,Family,0.86449
Nepal,Health (Life Expectancy),0.56874
Nepal,Freedom,0.38282
Nepal,Trust (Government Corruption),0.05907
Nepal,Generosity,0.32296
Ethiopia,Economy (GDP per Capita),0.19073
Ethiopia,Family,0.60406
Ethiopia,Health (Life Expectancy),0.44055
Ethiopia,Freedom,0.4345
Ethiopia,Trust (Government Corruption),0.15048
Ethiopia,Generosity,0.24325
Sierra Leone,Economy (GDP per Capita),0.33024
Sierra Leone,Family,0.95571
Sierra Leone,Health (Life Expectancy),0
Sierra Leone,Freedom,0.4084
Sierra Leone,Trust (Government Corruption),0.08786
Sierra Leone,Generosity,0.21488
Mauritania,Economy (GDP per Capita),0.45407
Mauritania,Family,0.86908
Mauritania,Health (Life Expectancy),0.35874
Mauritania,Freedom,0.24232
Mauritania,Trust (Government Corruption),0.17461
Mauritania,Generosity,0.219
Kenya,Economy (GDP per Capita),0.36471
Kenya,Family,0.99876
Kenya,Health (Life Expectancy),0.41435
Kenya,Freedom,0.42215
Kenya,Trust (Government Corruption),0.05839
Kenya,Generosity,0.37542
Djibouti,Economy (GDP per Capita),0.44025
Djibouti,Family,0.59207
Djibouti,Health (Life Expectancy),0.36291
Djibouti,Freedom,0.46074
Djibouti,Trust (Government Corruption),0.28105
Djibouti,Generosity,0.18093
Armenia,Economy (GDP per Capita),0.76821
